dish_id,bucket,bucket_reason,b_name_raw,b_name_norm,b_kcal,b_prot,b_fat,b_carb,b_weight_g,b_kbzhu_parse_ok,top1_okolo_id,top1_plu,top1_name,top1_name_score,top1_kbju_diff_pct,top1_weight_diff_g,top1_combined,top1_mutual
108,UNMATCHED,low_score,ПЕРЕКР.SEL.Нап.Г-Ш.с/с.ф/ов.с.ар.м.,нап г ш с с ф ов с ар м,47,0.6,0.2,10.7,250,True,1800463,78035077,"Матча Латте с соевым напитком, 400мл",50,57.5,150,0.470,False
109,UNMATCHED,low_score,ПЕРЕКР.SEL.Пюре CМУЗИ кл-бан.фр/яг.,пюре cмузи кл бан фр яг,45.5,0.8,0.3,10.7,250,True,1509597,4273862,"Суп-пюре из тыквы Перекрёсток Select, 300г",45,42.9,50,0.498,False
111,UNMATCHED,low_score,ПЕРЕКР.SEL.Нап.KOM.КЛ.бр.б/а н/ф неп,нап kom кл бр б а н ф неп,4.4,0.1,0,1,0.2,True,1625436,78034940,"Кофе Раф ванильный на овсяном напитке, 200мл",42,95.3,200,0.270,False
112,UNMATCHED,low_score,ПЕРЕКР.SEL.Нап.KOM.МАЛ.бр.б/а н/ф,нап kom мал бр б а н ф,,0.1,0,1,0.2,False,1625196,78034897,"Айс Латте с миндальным напитком, 350мл",45,,350,0.272,False
114,UNMATCHED,low_score,ПЕРЕКР.SEL.Нап.ЛИМ.ЛИМ-ИМБ.б/а ПЭТ,нап лим лим имб б а пэт,30,0,0,8,0.5,True,2015962,78036423,Напиток чайный с имбирем и лимоном 400мл,47,55.5,400,0.463,False
115,UNMATCHED,low_score,ПЕРЕКР.SEL.Нап.ЛИМ.ГРАН.б/а н/г ПЭТ,нап лим гран б а н г пэт,40,0,0,11,0.5,True,2114174,78037424,Основа Малина 9г,45,44.2,8,0.493,False
116,UNMATCHED,low_score,ПЕРЕКР.SEL.Нап.Л.с.л/в.к.п.б/а с/г,нап л с л в к п б а с г,32,0,0.4,7.2,330,True,2117412,4438648,"Суп Куриный с домашней лапшой Перекрёсток Select, 270г",46,45.8,60,0.492,False
117,UNMATCHED,low_score,ПЕРЕКР.SEL.Нап.ЛИМ.сок.ф.п.б/а с/г,нап лим сок ф п б а с г,39,0,0,9.7,330,True,2015962,78036423,Напиток чайный с имбирем и лимоном 400мл,48,55.2,70,0.465,False
119,UNMATCHED,low_score,ПЕРЕКР.SEL.Нап.ЗЕЛ.ЧАЙ КЛ.М.н/г б/а,нап зел чай кл м н г б а,30,0,0,8,0.5,True,1617644,4356602,"Холодный чай 28 Seeds Колд Брю Гуава Лайм зелёный, 250мл",52,28.1,250,0.600,False
120,UNMATCHED,low_score,ПЕРЕКР.SEL.Нап.ЗЕЛ.ЧАЙ ОБ.М.н/г б/а,нап зел чай об м н г б а,35,0,0,9,0.5,True,1617644,4356602,"Холодный чай 28 Seeds Колд Брю Гуава Лайм зелёный, 250мл",47,34.1,250,0.543,False
121,UNMATCHED,low_score,ПЕРЕКР.SEL.Нап.КИСЕЛЬ МАЛИН.н/г б/а,нап кисель малин н г б а,45,0,0,11,0.5,True,2114174,78037424,Основа Малина 9г,50,43.9,8,0.524,False
308,UNMATCHED,low_score,59NORTH Нап.ИМБ.ЭЛЬ Б.АН.+К.+М.б/а,59north нап имб эль б ан +к +м б а,50,0.5,0.3,11,330,True,1617649,4356596,"Напиток газированный 59Northh Имбирный Эль Бьюти Ананас Куркума Мака безалкогольный с соком, 330мл",42,0.0,0,0.654,False
319,UNMATCHED,low_score,ПЕРЕКР.SEL.Лим.МИН.ВИШ.сок.с/г б/а,лим мин виш сок с г б а,38.8,0,0,9.6,320,True,2116477,78037439,"Изотоник зеленый виноград с березовым соком, 350мл",48,48.0,30,0.499,False
321,UNMATCHED,low_score,ПЕРЕКР.SEL.Лим.МАЛ-БР.сок.с/г б/а,лим мал бр сок с г б а,46.4,0,0,11.5,320,True,1624446,78035151,"Напиток с медом имбирем и лимоном горячий, 400мл",48,59.6,80,0.447,False
325,UNMATCHED,generic_a_collision,СПК Круассан с ветчиной/сыром/гор.с.,круассан с ветчиной сыром гор с,299,8,19,24,185,True,2123816,78037574,"Круассан с ветчиной, сыром и горчичным соусом, 185г",93,0.0,0,0.956,True
326,UNMATCHED,generic_a_collision,СПК Круассан ЦЕЗАРЬ с филе цыпленка,круассан цезарь с филе цыпленка,233,7,14,18,150,True,2123815,78037575,"Круассан Цезарь с филе цыплёнка, 150г",100,0.0,0,1.000,True
328,UNMATCHED,generic_a_collision,СПК Круассан с форелью/творожн.сыр.,круассан с форелью творожн сыр,263.2,9.8,14.5,23.4,140,True,2126994,78037599,Круассан с форелью и творожным сыром 140г,85,0.0,0,0.907,True
431,UNMATCHED,generic_a_collision,СПК Айс Латте с миндальным напитк.,айс латте с миндальным напитк,58,3,2.7,5.4,350,True,1590556,78034443,"Латте, 400мл",100,13.5,50,0.946,True
346,UNMATCHED,generic_a_collision,СПК Круассан с ветчиной/сыром/гор.с.,круассан с ветчиной сыром гор с,299,8,19,24,185,True,2123816,78037574,"Круассан с ветчиной, сыром и горчичным соусом, 185г",93,0.0,0,0.956,True
347,UNMATCHED,generic_a_collision,СПК Круассан ЦЕЗАРЬ с филе цыпленка,круассан цезарь с филе цыпленка,233,7,14,18,150,True,2123815,78037575,"Круассан Цезарь с филе цыплёнка, 150г",100,0.0,0,1.000,True
349,UNMATCHED,generic_a_collision,СПК Круассан с форелью/творожн.сыр.,круассан с форелью творожн сыр,263.2,9.8,14.5,23.4,140,True,2126994,78037599,Круассан с форелью и творожным сыром 140г,85,0.0,0,0.907,True
357,UNMATCHED,low_score,СПз MACARONIKA Пирожное МАК.СИЦ.ФИСТ.,macaronika пирожное мак сиц фист,479.2,10.5,23.7,56,16,True,1613959,78035120,"Пирожное Картошка, 80г",64,23.8,64,0.689,False
406,UNMATCHED,low_score,СПК Кофе АМЕРИКАНО,кофе американо,,1.2,1.3,,200,False,1622160,78034900,"Американо, 400мл",100,,200,0.600,True
435,UNMATCHED,generic_a_collision,СПК Бейбичино БАБЛ ГАМ,бейбичино бабл гам,125,5.8,7.2,10.5,200,True,1800471,78034901,"Бейбичино Бабл Гам, 200мл",100,0.0,0,1.000,True
436,UNMATCHED,generic_a_collision,СПК Бейбичино БАБЛ ГАМ с овсян.нап.,бейбичино бабл гам с овсян нап,125,5.8,7.2,10.5,200,True,1800471,78034901,"Бейбичино Бабл Гам, 200мл",100,0.0,0,1.000,True
437,UNMATCHED,generic_a_collision,СПК Бейбичино БАБЛ ГАМ с соев.нап.,бейбичино бабл гам с соев нап,125,5.8,7.2,10.5,200,True,1800471,78034901,"Бейбичино Бабл Гам, 200мл",100,0.0,0,1.000,True
439,UNMATCHED,generic_a_collision,СПК Бейбичино ВАНИЛЬ с кокосов.нап.,бейбичино ваниль с кокосов нап,125,5.8,7.2,10.5,200,True,1621411,78034904,"Бейбичино Ваниль, 200мл",100,0.0,0,1.000,True
440,UNMATCHED,generic_a_collision,СПК Бейбичино ВАНИЛЬ с миндал.нап.,бейбичино ваниль с миндал нап,125,5.8,7.2,10.5,200,True,1621411,78034904,"Бейбичино Ваниль, 200мл",100,0.0,0,1.000,True
447,UNMATCHED,generic_a_collision,СПК Бейбичино ЛАВАНДА с соевым нап.,бейбичино лаванда с соевым нап,125,5.8,7.2,10.5,200,True,1800450,78034909,"Бейбичино Лаванда, 200мл",100,0.0,0,1.000,True
441,UNMATCHED,generic_a_collision,СПК Бейбичино ВАНИЛЬ с овсяным нап.,бейбичино ваниль с овсяным нап,125,5.8,7.2,10.5,200,True,1621411,78034904,"Бейбичино Ваниль, 200мл",100,0.0,0,1.000,True
442,UNMATCHED,generic_a_collision,СПК Бейбичино ВАНИЛЬ с соевым нап.,бейбичино ваниль с соевым нап,125,5.8,7.2,10.5,200,True,1621411,78034904,"Бейбичино Ваниль, 200мл",100,0.0,0,1.000,True
445,UNMATCHED,generic_a_collision,СПК Бейбичино ЛАВАНДА с миндал.нап.,бейбичино лаванда с миндал нап,125,5.8,7.2,10.5,200,True,1800450,78034909,"Бейбичино Лаванда, 200мл",100,0.0,0,1.000,True
446,UNMATCHED,generic_a_collision,СПК Бейбичино ЛАВАНДА с овсян.нап.,бейбичино лаванда с овсян нап,125,5.8,7.2,10.5,200,True,1800450,78034909,"Бейбичино Лаванда, 200мл",100,0.0,0,1.000,True
450,UNMATCHED,generic_a_collision,СПК Кофе РАФ ванильный на кок.нап.,кофе раф ванильный на кок нап,84.9,2.4,3.7,10.6,200,True,1619787,78034935,"Кофе Раф ванильный, 400мл",100,0.0,200,1.000,True
451,UNMATCHED,generic_a_collision,СПК Кофе РАФ ванильный на кок.нап.,кофе раф ванильный на кок нап,84.9,2.4,3.7,10.6,400,True,1619787,78034935,"Кофе Раф ванильный, 400мл",100,0.0,0,1.000,True
452,UNMATCHED,generic_a_collision,СПК Кофе РАФ ванильный на минд.нап.,кофе раф ванильный на минд нап,84.9,2.4,3.7,10.6,200,True,1619787,78034935,"Кофе Раф ванильный, 400мл",100,0.0,200,1.000,True
460,UNMATCHED,generic_a_collision,СПК Кофе РАФ лавандовый на кок.нап.,кофе раф лавандовый на кок нап,84.9,2.4,3.7,10.6,200,True,1621685,78034945,"Раф кофе лавандовый, 400мл",100,0.0,200,1.000,True
462,UNMATCHED,generic_a_collision,СПК Кофе РАФ лавандовый на мин.нап.,кофе раф лавандовый на мин нап,84.9,2.4,3.7,10.6,200,True,1621685,78034945,"Раф кофе лавандовый, 400мл",100,0.0,200,1.000,True
463,UNMATCHED,generic_a_collision,СПК Кофе РАФ лавандовый на мин.нап.,кофе раф лавандовый на мин нап,84.9,2.4,3.7,10.6,400,True,1621685,78034945,"Раф кофе лавандовый, 400мл",100,0.0,0,1.000,True
472,UNMATCHED,generic_a_collision,СПК Бейбичино БАБЛ ГАМ с кокос.нап.,бейбичино бабл гам с кокос нап,125,5.8,7.2,10.5,200,True,1800471,78034901,"Бейбичино Бабл Гам, 200мл",100,0.0,0,1.000,True
473,UNMATCHED,generic_a_collision,СПК Бейбичино БАБЛ ГАМ минд.нап.,бейбичино бабл гам минд нап,125,5.8,7.2,10.5,200,True,1800471,78034901,"Бейбичино Бабл Гам, 200мл",100,0.0,0,1.000,True
477,UNMATCHED,generic_a_collision,СПК Матча ЛАТТЕ с кокосовым нап.,матча латте с кокосовым нап,69,2.7,3,7.8,200,True,1800452,78035069,"Матча Латте, 400мл",100,0.0,200,1.000,True
478,UNMATCHED,generic_a_collision,СПК Матча ЛАТТЕ на кокосовом нап.,матча латте на кокосовом нап,69,2.7,3,7.8,400,True,1800452,78035069,"Матча Латте, 400мл",100,0.0,0,1.000,True
479,UNMATCHED,generic_a_collision,СПК Матча ЛАТТЕ с миндальным нап.,матча латте с миндальным нап,69,2.7,3,7.8,200,True,1800452,78035069,"Матча Латте, 400мл",100,0.0,200,1.000,True
491,UNMATCHED,generic_a_collision,СПК Чай зеленый,чай зеленый,1.5,0.2,0.1,0.1,400,True,1621919,78035084,"Чай зелёный, 400мл",100,0.0,0,1.000,True
492,UNMATCHED,generic_a_collision,СПК Чай Молочный Улун зеленый,чай молочный улун зеленый,1.5,0.2,0.1,0.1,400,True,1621919,78035084,"Чай зелёный, 400мл",100,0.0,0,1.000,True
493,UNMATCHED,generic_a_collision,СПК Чай черный,чай черный,1.5,0.2,0.1,0.1,400,True,1625109,78035086,"Чай черный, 400мл",100,0.0,0,1.000,True
494,UNMATCHED,generic_a_collision,СПК Чай черный с бергамотом,чай черный с бергамотом,1.5,0.2,0.1,0.1,400,True,1625109,78035086,"Чай черный, 400мл",100,0.0,0,1.000,True
495,UNMATCHED,generic_a_collision,СПК Чай черный с персиком/имбирем,чай черный с персиком имбирем,1.5,0.2,0.1,0.1,400,True,1625109,78035086,"Чай черный, 400мл",100,0.0,0,1.000,True
499,UNMATCHED,generic_a_collision,СПК Чай зеленый с жасмином,чай зеленый с жасмином,1.5,0.2,0.1,0.1,400,True,1621919,78035084,"Чай зелёный, 400мл",100,0.0,0,1.000,True
508,UNMATCHED,generic_a_collision,СПК Раф СОЛЕНАЯ КАРАМЕЛЬ С ОРЕХАМИ,раф соленая карамель с орехами,84.9,2.4,3.7,10.6,200,True,2125274,78037600,"Раф соленая карамель с орехами XL, 550мл",100,0.1,350,1.000,True
509,UNMATCHED,generic_a_collision,СПК Раф соленая карамель с орехами,раф соленая карамель с орехами,84.9,2.4,3.7,10.6,400,True,2125274,78037600,"Раф соленая карамель с орехами XL, 550мл",100,0.1,150,1.000,True
521,UNMATCHED,generic_a_collision,СПК Кафе Какао,кафе какао,92.8,3.7,3.7,11.2,200,True,1846291,78036191,"Какао, 200мл",100,0.0,0,1.000,True
522,UNMATCHED,generic_a_collision,СПК Кафе Какао,кафе какао,92.8,3.7,3.7,11.2,400,True,1846291,78036191,"Какао, 200мл",100,0.0,200,1.000,True
542,UNMATCHED,generic_a_collision,СПК Чай латте пряный,чай латте пряный,78.4,3,4,7.5,200,True,2067029,78036420,Чай латте пряный с овсяным напитком 400мл,100,45.9,200,0.816,True
543,UNMATCHED,generic_a_collision,СПК Чай латте пряный,чай латте пряный,78.4,3,4,7.5,400,True,2067029,78036420,Чай латте пряный с овсяным напитком 400мл,100,45.9,0,0.816,True
646,UNMATCHED,low_score,ФК Кафе Клаб Сэндвич двойн.кур/бек.,кафе клаб сэндвич двойн кур бек,,,,,200,False,2120925,78037531,"Клаб Сэндвич двойной с курицей и беконом, 100г",76,,100,0.456,False
547,UNMATCHED,generic_a_collision,СПК Чай латте пряный с овсяным нап.,чай латте пряный с овсяным нап,56.1,0.3,2.1,9.1,200,True,2067029,78036420,Чай латте пряный с овсяным напитком 400мл,93,0.0,200,0.957,True
647,UNMATCHED,low_score,ФК Кафе Сэндвич с мортаделл/тв.сыр.,кафе сэндвич с мортаделл тв сыр,,,,,205,False,2128421,78037620,"Сэндвич с мортаделлой и творожным сыром, 100г",77,,105,0.463,False
648,UNMATCHED,low_score,Чиабатта кур.барб/соус.пес.,чиабатта кур барб соус пес,,,,,140,False,2123213,78037561,"Чиабатта с курицей барбекю и соусом песто, 140г",78,,0,0.466,False
566,UNMATCHED,generic_a_collision,СПК Какао без сахара,какао без сахара,171.9,5.2,5.5,25.3,400,True,2114955,78037350,"Какао без сахара, 400мл",100,0.0,0,1.000,True
567,UNMATCHED,generic_a_collision,СПК Какао без сахара,какао без сахара,171.9,5.2,5.5,25.3,200,True,2114955,78037350,"Какао без сахара, 400мл",100,0.0,200,1.000,True
569,UNMATCHED,generic_a_collision,СПК Основа МАЛИНА,основа малина,364,0,0,91,9,True,2123610,78037556,Основа Малина 25г,100,0.0,16,1.000,True
570,UNMATCHED,generic_a_collision,СПК Основа МАЛИНА,основа малина,364,0,0,91,18,True,2123610,78037556,Основа Малина 25г,100,0.0,7,1.000,True
571,UNMATCHED,generic_a_collision,СПК Основа КЕШЬЮ-БАНАН,основа кешью банан,487,1.2,22,71,9,True,2145576,78037427,Основа Кешью-Банан 18г,100,0.0,9,1.000,True
572,UNMATCHED,generic_a_collision,СПК Основа КЕШЬЮ-БАНАН,основа кешью банан,,,,,18,False,2145576,78037427,Основа Кешью-Банан 18г,100,,0,0.600,True
573,UNMATCHED,generic_a_collision,СПК Основа ТЫКВА,основа тыква,520.8,1.2,22,79.5,9,True,2127128,78037558,Основа Тыква 25г,100,0.0,16,1.000,True
574,UNMATCHED,generic_a_collision,СПК Основа ТЫКВА,основа тыква,520.8,1.2,22,79.5,18,True,2127128,78037558,Основа Тыква 25г,100,0.0,7,1.000,True
579,UNMATCHED,generic_a_collision,СПК Латте XL,латте xl,64,3.6,2.4,7,550,True,2125271,78037539,"Латте XL, 550мл",100,0.0,0,1.000,True
584,UNMATCHED,generic_a_collision,СПК Основа МАЛИНА,основа малина,364,0,0,91,25,True,2123610,78037556,Основа Малина 25г,100,0.0,0,1.000,True
585,UNMATCHED,generic_a_collision,СПК Основа КЕШЬЮ-БАНАН,основа кешью банан,487,1.2,22,71,25,True,2145576,78037427,Основа Кешью-Банан 18г,100,0.0,7,1.000,True
586,UNMATCHED,generic_a_collision,СПК Основа ТЫКВА,основа тыква,520.8,1.2,22,79.5,25,True,2127128,78037558,Основа Тыква 25г,100,0.0,0,1.000,True
589,UNMATCHED,low_score,СПК Чай горячий,чай горячий,14.7,2,0.5,0.5,150,True,1624324,78035152,"Напиток с облепихой корицей и яблоком горячий, 400мл",78,77.6,250,0.556,False
595,UNMATCHED,generic_a_collision,СПК Латте,латте,51.6,2.6,2.8,4,200,True,2125271,78037539,"Латте XL, 550мл",100,26.1,350,0.896,True
596,UNMATCHED,generic_a_collision,СПК Латте,латте,51.6,2.6,2.8,4,400,True,2125271,78037539,"Латте XL, 550мл",100,26.1,150,0.896,True
598,UNMATCHED,generic_a_collision,СПК Какао,какао,83.2,5,4,6.8,200,True,2114955,78037350,"Какао без сахара, 400мл",100,39.0,200,0.844,True
604,UNMATCHED,generic_a_collision,Чай ПЕРСИК ИМБИРЬ черный аром.с доб.,чай персик имбирь черный аром с доб,,,,,3,False,1625109,78035086,"Чай черный, 400мл",100,,397,0.600,True
605,UNMATCHED,generic_a_collision,Чай ЭРЛ ГРЕЙ черный аром.с доб.,чай эрл грей черный аром с доб,,,,,3,False,1625109,78035086,"Чай черный, 400мл",100,,397,0.600,True
606,UNMATCHED,generic_a_collision,Чай ЖАСМИНОВЫЙ зеленый,чай жасминовый зеленый,,,,,3,False,1621919,78035084,"Чай зелёный, 400мл",100,,397,0.600,True
607,UNMATCHED,low_score,Чай КЕНИЯ черный листовой,чай кения черный листовой,,,,,3,False,1625109,78035086,"Чай черный, 400мл",100,,397,0.600,False
608,UNMATCHED,low_score,Чай МОЛОЧНЫЙ УЛУН китайский листовой,чай молочный улун китайский листовой,,,,,3,False,1621920,78035085,"Чай Молочный Улун зелёный, 400мл",81,,397,0.486,False
609,UNMATCHED,generic_a_collision,Чай ЗЕЛЕНЫЙ КЛАССИЧЕСКИЙ китайск.лист.,чай зеленый классический китайск лист,,,,,3,False,1621919,78035084,"Чай зелёный, 400мл",100,,397,0.600,True
613,UNMATCHED,low_score,Чай INNERZEE MASALA LATTE раст.,чай innerzee masala latte раст,,,,,1,False,1625109,78035086,"Чай черный, 400мл",46,,399,0.277,False
614,UNMATCHED,low_score,Чай INNERZEE MATCHA LATTE SPICE раст.,чай innerzee matcha latte spice раст,,,,,1,False,1625109,78035086,"Чай черный, 400мл",46,,399,0.277,False
649,UNMATCHED,low_score,Чиабатта с кур/моц.охл.,чиабатта с кур моц охл,,,,,155,False,2123212,78037576,"Чиабатта с курицей и моцарелой, 155г",73,,0,0.438,False
650,UNMATCHED,generic_a_collision,Круассан ЦЕЗАРЬ с филе цыпленка,круассан цезарь с филе цыпленка,,,,,150,False,2123815,78037575,"Круассан Цезарь с филе цыплёнка, 150г",100,,0,0.600,True
651,UNMATCHED,low_score,Круассан ветчиной/сыром/горч.соусом,круассан ветчиной сыром горч соусом,,,,,185,False,2123816,78037574,"Круассан с ветчиной, сыром и горчичным соусом, 185г",92,,0,0.554,False
652,UNMATCHED,low_score,Круассан c форелью/твор.сыром охл.,круассан c форелью твор сыром охл,,,,,140,False,2126994,78037599,Круассан с форелью и творожным сыром 140г,80,,0,0.480,False
653,UNMATCHED,low_score,ФК Кафе Клаб Сэндвич двойн.кур/бек.,кафе клаб сэндвич двойн кур бек,,,,,200,False,2120925,78037531,"Клаб Сэндвич двойной с курицей и беконом, 100г",76,,100,0.456,False
654,UNMATCHED,low_score,ФК Кафе Сэндвич с мортаделл/тв.сыр.,кафе сэндвич с мортаделл тв сыр,,,,,205,False,2128421,78037620,"Сэндвич с мортаделлой и творожным сыром, 100г",77,,105,0.463,False
655,UNMATCHED,low_score,Чиабатта кур.барб/соус.пес.,чиабатта кур барб соус пес,,,,,140,False,2123213,78037561,"Чиабатта с курицей барбекю и соусом песто, 140г",78,,0,0.466,False
656,UNMATCHED,low_score,Чиабатта с кур/моц.охл.,чиабатта с кур моц охл,,,,,155,False,2123212,78037576,"Чиабатта с курицей и моцарелой, 155г",73,,0,0.438,False
657,UNMATCHED,generic_a_collision,Круассан ЦЕЗАРЬ с филе цыпленка,круассан цезарь с филе цыпленка,,,,,150,False,2123815,78037575,"Круассан Цезарь с филе цыплёнка, 150г",100,,0,0.600,True
658,UNMATCHED,low_score,Круассан ветчиной/сыром/горч.соусом,круассан ветчиной сыром горч соусом,,,,,185,False,2123816,78037574,"Круассан с ветчиной, сыром и горчичным соусом, 185г",92,,0,0.554,False
659,UNMATCHED,low_score,Круассан c форелью/твор.сыром охл.,круассан c форелью твор сыром охл,,,,,140,False,2126994,78037599,Круассан с форелью и творожным сыром 140г,80,,0,0.480,False
660,UNMATCHED,low_score,СПК Чиабатта с вет/сыр/соус.тар-тар,чиабатта с вет сыр соус тар тар,,,,,130,False,2009493,78036514,"Чиабатта с ветчиной сыром и соусом тар-тар, 130г",83,,0,0.498,False
661,UNMATCHED,low_score,БАЛТ.ХЛ.Круас.копч.гов/сыр/тер.зам.,балт хл круас копч гов сыр тер зам,,,,,160,False,2022011,78036648,"Круассан с копченой говядиной сыром и соусом терияки, 160г",53,,0,0.321,False
662,UNMATCHED,low_score,БАЛТ.ХЛЕБ Круас.сал/ч/с/с.п.чили зам,балт хлеб круас сал ч с с п чили зам,,,,,150,False,2028466,78036650,"Круассан с салями чоризо сыром и соусом перечный чили, 150г",51,,0,0.303,False
663,UNMATCHED,low_score,Изд.ГРИЛАТА брынза с зеленью зам.,изд грилата брынза с зеленью зам,,,,,100,False,1617090,78034825,"Грилата с брынзой и зеленью, 100г",85,,0,0.508,False
666,UNMATCHED,low_score,MACARONIKA Пирож.МАК.BS М/МАР.СП.зам.,macaronika пирож мак bs м мар сп зам,,,,,16,False,2119622,78037448,Пирожное Дабл Макарон BS Имбирный Пряник 38г,52,,22,0.315,False
667,UNMATCHED,low_score,MACARONIKA Пирож.МАК.BS СОЛ.КАР.зам.,macaronika пирож мак bs сол кар зам,,,,,16,False,2119623,78037449,Пирожное Дабл Макарон BS Мандарин 38г,53,,22,0.317,False
668,UNMATCHED,low_score,MACARONIKA Пирож.МАК.BS СИЦ.ФИС.зам.,macaronika пирож мак bs сиц фис зам,,,,,16,False,1836421,78035602,"Пирожное Макарон Сицилийская Фисташка, 16г",47,,0,0.283,False
669,UNMATCHED,low_score,ГЛОБУС ЭЛИТ Торт ЧИЗ.КЛУБ.ЭЛИТ зам.,глобус элит торт чиз клуб элит зам,,,,,1400,False,1839202,78036074,"Торт Чизкейк Клубничный Элит, 115г",63,,1285,0.379,False
670,UNMATCHED,low_score,ГЛОБУС ЭЛИТ Пирог ЯБЛ.ЭЛИТ зам.,глобус элит пирог ябл элит зам,,,,,1450,False,1839201,78036073,"Пирог Яблочный элит, 120г",69,,1330,0.414,False
672,UNMATCHED,low_score,СПК Пирожное Моти Черника,пирожное моти черника,,,,,100,False,2115710,78037394,"Пирожное Моти Черника, 50г",100,,50,0.600,True
673,UNMATCHED,low_score,СПК Пирожное Моти Манго,пирожное моти манго,,,,,100,False,2123193,4441205,"Манго Перекрёсток Select, 140г",100,,40,0.600,False
674,UNMATCHED,low_score,СПК Пирожное Моти Вишня,пирожное моти вишня,,,,,100,False,2115711,78037396,"Пирожное Моти Вишня, 50г",100,,50,0.600,True
675,UNMATCHED,low_score,СПК Трубочка С ВАР.СГУЩ.МОЛОКОМ ваф.,трубочка с вар сгущ молоком ваф,,,,,85,False,2008924,78036485,"Трубочка вафельная с варёным сгущенным молоком, 85г",81,,0,0.483,False
676,UNMATCHED,low_score,KRISTOF Торт РИКОТТА С ГРУШЕЙ зам.,kristof торт рикотта с грушей зам,,,,,100,False,2111169,78036794,Торт Рикотта с грушей 100г,89,,0,0.536,False
677,UNMATCHED,low_score,BETTY'S CAKE Пирог ЧИЗК.ШОК.сыр.зам.,betty's cake пирог чизк шок сыр зам,,,,,100,False,1840734,78036091,"Пирог Чизкейк Шоколадный Микс сырный, 120г",56,,20,0.338,False
678,UNMATCHED,low_score,BET.CAKE Пирог ЧИЗ.НЬЮ-ЙОРК сыр.зам.,bet cake пирог чиз нью йорк сыр зам,,,,,100,False,2118301,78036828,Пирог Чизкейк Нью-Йорк сырный 100г,67,,0,0.400,False
680,UNMATCHED,low_score,ГРАНОЛА-ОПТ Мини-эклер ШОК.ЧИЗК.зам.,гранола опт мини эклер шок чизк зам,,,,,27,False,2113601,78037238,"Мини-эклер ягодный, 27г",71,,0,0.429,False
682,UNMATCHED,low_score,ОЗОН ВК.Чизкейк САН-СЕБ.мак/лим.зам.,озон вк чизкейк сан себ мак лим зам,,,,,100,False,2120247,78037348,"Чизкейк Сан-Себастьян с маком и лимоном, 100г",68,,0,0.405,False
683,UNMATCHED,low_score,ОЗОН ВК.Чизкейк САН-СЕБ.с мал.зам.,озон вк чизкейк сан себ с мал зам,,,,,100,False,2120246,78037347,"Чизкейк Сан-Себастьян с малиной, 100г",69,,0,0.412,False
